,index,link_path,time,route_type,route_types,length,origin,destination,activity,frequency,home,mode
0,72938,"['pt-links_973', 'pt-links_974']",13.535495638847351,pt,['bus'],6730.0,336,1005678612,2,0.07142857142857142,336,PT
1,2272,"['pt-links_975', 'pt-links_976', 'pt-links_977', 'pt-links_978']",24.3436708231767,pt,['bus'],7797.0,1005678612,14750287,42,0.07142857142857142,336,PT
2,42563,"['pt-links_1226', 'pt-links_1275', 'pt-links_1276', 'pt-links_860']",28.583259809017182,pt,['bus'],6929.0,14750287,744280580,41,0.07142857142857142,336,PT
3,74581,"['pt-links_983', 'pt-links_984', 'pt-links_972']",28.860689040025076,pt,['bus'],5099.0,342471623,336,0,0.07142857142857142,336,PT
4,72938,"['pt-links_973', 'pt-links_974']",13.535495638847351,pt,['bus'],6730.0,336,1005678612,2,0.14285714285714285,336,PT
5,2343,"['pt-links_975', 'pt-links_982']",22.018752600749334,pt,['bus'],2661.0,1005678612,342471623,7,0.14285714285714285,336,PT
6,74581,"['pt-links_983', 'pt-links_984', 'pt-links_972']",28.860689040025076,pt,['bus'],5099.0,342471623,336,0,0.14285714285714285,336,PT
7,193805,"['link-walk_000000004228', 'link-walk_000000004234', 'link-walk_000000004240', 'link-walk_000000004242', 'link-walk_000000004244', 'link-walk_000000001838', 'link-walk_000000001521', 'link-walk_000000001518', 'link-walk_000000001495', 'link-walk_000000001494', 'link-walk_000000002651', 'link-walk_000000000785', 'link-walk_000000000771', 'link-walk_000000000777', 'link-walk_000000001143', 'link-walk_000000001290', 'link-walk_000000001121', 'link-walk_000000004860', 'link-walk_000000011298', 'link-walk_000000004856', 'link-walk_000000001319', 'link-walk_000000001315', 'link-walk_000000000671', 'link-walk_000000001102']",23.327625491221745,walk,"('walk',)",2172.005,336,1005678612,2,0.28571428571428575,336,active
8,273804,"['link-walk_000000001085', 'link-walk_000000000667', 'link-walk_000000000673', 'link-walk_000000001316', 'link-walk_000000001318', 'link-walk_000000004855', 'link-walk_000000011299', 'link-walk_000000004859', 'link-walk_000000001120', 'link-walk_000000001289', 'link-walk_000000001142', 'link-walk_000000000778', 'link-walk_000000000773', 'link-walk_000000000784', 'link-walk_000000000790', 'link-walk_000000001488', 'link-walk_000000001493', 'link-walk_000000001496', 'link-walk_000000001517', 'link-walk_000000001523', 'link-walk_000000001837', 'link-walk_000000004247', 'link-walk_000000004241', 'link-walk_000000004238', 'link-walk_000000004235']",23.13103549281756,walk,"('walk',)",2152.346,1005678612,336,0,0.28571428571428575,336,active
9,60662,"['pt-links_863', 'pt-links_915']",24.455825195709863,pt,['bus'],3694.0,28,495757759,2,0.07142857142857142,28,PT
10,136149,"['pt-links_918', 'pt-links_864']",26.817724949121477,pt,['bus'],2408.0,495757759,741886865,42,0.07142857142857142,28,PT
