,index,link_path,time,route_type,route_types,length,origin,destination,activity,frequency,home,mode
0,73036,"['pt-links_973', 'pt-links_974', 'pt-links_975', 'pt-links_976', 'pt-links_977', 'pt-links_978']",33.847537978490195,pt,['bus'],14527.0,336,4875657927,6,0.07142857142857142,336,PT
1,42563,"['pt-links_1226', 'pt-links_1275', 'pt-links_1276', 'pt-links_860']",28.583259809017182,pt,['bus'],6929.0,14750287,744280580,41,0.07142857142857142,336,PT
2,74581,"['pt-links_983', 'pt-links_984', 'pt-links_972']",28.860689040025076,pt,['bus'],5099.0,342471623,336,0,0.07142857142857142,336,PT
3,67352,"['link-walk_000000004228', 'link-walk_000000004234', 'link-walk_000000004240', 'link-walk_000000004242', 'link-walk_000000004245', 'link-walk_000000009405', 'link-walk_000000001529', 'link-walk_000000001536', 'link-walk_000000001401', 'link-walk_000000001849', 'link-walk_000000001416', 'link-walk_000000002659', 'link-walk_000000009455', 'link-walk_000000002744', 'link-walk_000000001414', 'link-walk_000000007419', 'link-walk_000000000838', 'link-walk_000000000835', 'link-walk_000000000843', 'link-walk_000000001543', 'link-walk_000000009409', 'link-walk_000000009413', 'link-walk_000000003623', 'link-walk_000000001582', 'link-walk_000000001430', 'link-walk_000000001432', 'link-walk_000000009462', 'link-walk_000000001589', 'link-walk_000000011219', 'link-walk_000000011228', 'link-walk_000000001694', 'link-walk_000000001564', 'link-walk_000000001580', 'link-walk_000000007422', 'link-walk_000000007426', 'link-walk_000000004552', 'link-walk_000000007431', 'link-walk_000000009418', 'link-walk_000000009416', 'link-walk_000000009422', 'link-walk_000000009077', 'link-walk_000000004539', 'link-walk_000000004533', 'link-walk_000000004540', 'link-walk_000000007186']",34.37190888126691,walk,"('walk',)",3277.6380000000004,336,342471623,7,0.14285714285714285,336,active
4,179454,"['link-walk_000000005841', 'link-walk_000000007184', 'link-walk_000000004541', 'link-walk_000000004532', 'link-walk_000000004538', 'link-walk_000000009076', 'link-walk_000000009421', 'link-walk_000000009415', 'link-walk_000000009417', 'link-walk_000000007430', 'link-walk_000000004554', 'link-walk_000000007425', 'link-walk_000000007421', 'link-walk_000000001578', 'link-walk_000000001563', 'link-walk_000000001695', 'link-walk_000000003564', 'link-walk_000000003616', 'link-walk_000000001595', 'link-walk_000000011218', 'link-walk_000000011217', 'link-walk_000000001435', 'link-walk_000000001586', 'link-walk_000000003624', 'link-walk_000000009411', 'link-walk_000000009408', 'link-walk_000000001542', 'link-walk_000000000842', 'link-walk_000000000834', 'link-walk_000000000840', 'link-walk_000000007420', 'link-walk_000000001413', 'link-walk_000000002743', 'link-walk_000000011651', 'link-walk_000000002657', 'link-walk_000000001538', 'link-walk_000000001532', 'link-walk_000000001530', 'link-walk_000000001523', 'link-walk_000000001837', 'link-walk_000000004247', 'link-walk_000000004241', 'link-walk_000000004238', 'link-walk_000000004235']",32.01853888630867,walk,"('walk',)",3042.3010000000004,342471623,336,0,0.14285714285714285,336,active
5,60644,"['pt-links_849', 'pt-links_858']",29.335621029138565,pt,['bus'],5769.0,28,495657120,6,0.07142857142857142,28,PT
6,128000,"['pt-links_918', 'pt-links_864']",34.861617130041125,pt,['bus'],2408.0,495657120,741886865,42,0.07142857142857142,28,PT
7,222009,"['pt-links_997', 'pt-links_978']",33.51781866550446,pt,['bus'],5043.0,741886865,1169806037,41,0.07142857142857142,28,PT
8,26422,"['pt-links_1226', 'pt-links_1275', 'pt-links_1276', 'pt-links_860']",33.32792831063271,pt,['bus'],6929.0,1169806037,1705267522,7,0.07142857142857142,28,PT
9,300998,"['link-bike_000000001304', 'link-bike_000000001302', 'link-bike_000000001308', 'link-bike_000000001678', 'link-bike_000000001320', 'link-bike_000000002435', 'link-bike_000000009020']",1.9244817073170735,bicycle,"('bicycle',)",526.025,28,1705267522,7,0.14285714285714285,28,active
10,8309,"['link-bike_000000002503', 'link-bike_000000011084', 'link-bike_000000002431', 'link-bike_000000002436', 'link-bike_000000001322', 'link-bike_000000001677', 'link-bike_000000001301']",1.7532402439024393,bicycle,"('bicycle',)",479.21900000000005,1705267522,28,0,0.14285714285714285,28,active
11,41314,"['pt-links_1245', 'pt-links_977', 'pt-links_978']",34.433835397164025,pt,['bus'],5964.0,140,4875657927,6,0.07142857142857142,140,PT
12,85653,"['pt-links_1226', 'pt-links_1275', 'pt-links_1276']",33.31200244029363,pt,['bus'],5499.0,4873906892,1161808778,7,0.07142857142857142,140,PT
13,129695,"['link-car_000000001183', 'link-car_000000001192', 'link-car_000000001590', 'link-car_000000001218', 'link-car_000000001917', 'link-car_000000013807', 'link-car_000000013810', 'link-car_000000001913', 'link-car_000000001912']",7.848457324504852,car,"('car',)",552.1,140,1161808778,7,0.14285714285714285,140,MIT
