,index,link_path,time,route_type,route_types,length,origin,destination,activity,frequency,home,mode
0,261387,"['link-walk_000000004228', 'link-walk_000000004234', 'link-walk_000000004240', 'link-walk_000000004242', 'link-walk_000000004245', 'link-walk_000000009405', 'link-walk_000000001529', 'link-walk_000000001536', 'link-walk_000000001401', 'link-walk_000000001849', 'link-walk_000000001417', 'link-walk_000000009460', 'link-walk_000000011486', 'link-walk_000000011644', 'link-walk_000000011485', 'link-walk_000000000862', 'link-walk_000000000864', 'link-walk_000000011481', 'link-walk_000000002761', 'link-walk_000000002758', 'link-walk_000000000741']",18.05430916349093,walk,"('walk',)",1645.0320000000002,336,737777215,1,0.07142857142857142,336,active
1,187772,"['link-walk_000000000733', 'link-walk_000000000730', 'link-walk_000000000737', 'link-walk_000000011581', 'link-walk_000000000725', 'link-walk_000000000728', 'link-walk_000000008964', 'link-walk_000000008966', 'link-walk_000000001200', 'link-walk_000000001205', 'link-walk_000000000612', 'link-walk_000000000611']",6.636720736821492,walk,"('walk',)",589.7149999999999,737777215,4875657927,6,0.07142857142857142,336,active
2,196338,"['link-walk_000000000615', 'link-walk_000000000618', 'link-walk_000000000678', 'link-walk_000000000680', 'link-walk_000000001616', 'link-walk_000000001203', 'link-walk_000000000693', 'link-walk_000000000687', 'link-walk_000000000690', 'link-walk_000000000714', 'link-walk_000000000709', 'link-walk_000000000698', 'link-walk_000000000696', 'link-walk_000000000704', 'link-walk_000000011479', 'link-walk_000000000861', 'link-walk_000000011483', 'link-walk_000000011643', 'link-walk_000000011488', 'link-walk_000000009459', 'link-walk_000000001416', 'link-walk_000000002659', 'link-walk_000000009455', 'link-walk_000000002744', 'link-walk_000000001415']",16.55645717183749,walk,"('walk',)",1581.993,4875657927,737777231,3,0.07142857142857142,336,active
3,8799,"['link-walk_000000012365', 'link-walk_000000001413', 'link-walk_000000002743', 'link-walk_000000011653', 'link-walk_000000009454', 'link-walk_000000011672', 'link-walk_000000012695', 'link-walk_000000011635', 'link-walk_000000002761', 'link-walk_000000002758', 'link-walk_000000000741', 'link-walk_000000000733', 'link-walk_000000000730', 'link-walk_000000000737', 'link-walk_000000011581', 'link-walk_000000000725', 'link-walk_000000000728', 'link-walk_000000008964', 'link-walk_000000008966', 'link-walk_000000001200', 'link-walk_000000001205', 'link-walk_000000000612', 'link-walk_000000000611', 'link-walk_000000000615', 'link-walk_000000000617', 'link-walk_000000001022', 'link-walk_000000002623']",18.136336567004523,walk,"('walk',)",1744.3139999999999,737777231,14750287,42,0.07142857142857142,336,active
4,265547,"['link-walk_000000000646', 'link-walk_000000000618', 'link-walk_000000000678', 'link-walk_000000000680', 'link-walk_000000001616', 'link-walk_000000001203', 'link-walk_000000000693', 'link-walk_000000000687', 'link-walk_000000000690', 'link-walk_000000000714', 'link-walk_000000000708', 'link-walk_000000000711', 'link-walk_000000001464', 'link-walk_000000001462', 'link-walk_000000001382', 'link-walk_000000001389', 'link-walk_000000001403', 'link-walk_000000001395', 'link-walk_000000001402']",13.498134477933247,walk,"('walk',)",1298.638,14750287,744280580,41,0.07142857142857142,336,active
5,20974,"['link-walk_000000001536', 'link-walk_000000001401', 'link-walk_000000001849', 'link-walk_000000001416', 'link-walk_000000002659', 'link-walk_000000009455', 'link-walk_000000002744', 'link-walk_000000001414', 'link-walk_000000007419', 'link-walk_000000000838', 'link-walk_000000000835', 'link-walk_000000000843', 'link-walk_000000001543', 'link-walk_000000009409', 'link-walk_000000009413', 'link-walk_000000003623', 'link-walk_000000001582', 'link-walk_000000001430', 'link-walk_000000001432', 'link-walk_000000009462', 'link-walk_000000001589', 'link-walk_000000011219', 'link-walk_000000011228', 'link-walk_000000001694', 'link-walk_000000001564', 'link-walk_000000001580', 'link-walk_000000007422', 'link-walk_000000007426', 'link-walk_000000004552', 'link-walk_000000007431', 'link-walk_000000009418', 'link-walk_000000009416', 'link-walk_000000009422', 'link-walk_000000009077', 'link-walk_000000004539', 'link-walk_000000004533', 'link-walk_000000004540', 'link-walk_000000007186']",25.071915821234384,walk,"('walk',)",2451.123,744280580,342471623,7,0.07142857142857142,336,active
6,179454,"['link-walk_000000005841', 'link-walk_000000007184', 'link-walk_000000004541', 'link-walk_000000004532', 'link-walk_000000004538', 'link-walk_000000009076', 'link-walk_000000009421', 'link-walk_000000009415', 'link-walk_000000009417', 'link-walk_000000007430', 'link-walk_000000004554', 'link-walk_000000007425', 'link-walk_000000007421', 'link-walk_000000001578', 'link-walk_000000001563', 'link-walk_000000001695', 'link-walk_000000003564', 'link-walk_000000003616', 'link-walk_000000001595', 'link-walk_000000011218', 'link-walk_000000011217', 'link-walk_000000001435', 'link-walk_000000001586', 'link-walk_000000003624', 'link-walk_000000009411', 'link-walk_000000009408', 'link-walk_000000001542', 'link-walk_000000000842', 'link-walk_000000000834', 'link-walk_000000000840', 'link-walk_000000007420', 'link-walk_000000001413', 'link-walk_000000002743', 'link-walk_000000011651', 'link-walk_000000002657', 'link-walk_000000001538', 'link-walk_000000001532', 'link-walk_000000001530', 'link-walk_000000001523', 'link-walk_000000001837', 'link-walk_000000004247', 'link-walk_000000004241', 'link-walk_000000004238', 'link-walk_000000004235']",32.01853888630867,walk,"('walk',)",3042.3010000000004,342471623,336,0,0.07142857142857142,336,active
7,261387,"['link-car_000000005197', 'link-car_000000005203', 'link-car_000000005212', 'link-car_000000010206', 'link-car_000000010197', 'link-car_000000010200', 'link-car_000000001931', 'link-car_000000001941', 'link-car_000000001791', 'link-car_000000001821', 'link-car_000000001812', 'link-car_000000001818', 'link-car_000000011443', 'link-car_000000014274', 'link-car_000000014104', 'link-car_000000014101', 'link-car_000000014106', 'link-car_000000014270', 'link-car_000000003376', 'link-car_000000003374', 'link-car_000000001152']",10.526688961187999,car,"('car',)",1645.78,336,737777215,1,0.14285714285714285,336,MIT
8,32686,"['link-car_000000001144', 'link-car_000000001151', 'link-car_000000003373', 'link-car_000000003377', 'link-car_000000014271', 'link-car_000000014105', 'link-car_000000014100', 'link-car_000000014102', 'link-car_000000014273', 'link-car_000000011445', 'link-car_000000001817', 'link-car_000000001811', 'link-car_000000001814', 'link-car_000000003260']",7.937044342358908,car,"('car',)",852.348,737777215,737777231,3,0.14285714285714285,336,MIT
9,154623,"['link-car_000000003264', 'link-car_000000003259', 'link-car_000000001815', 'link-car_000000011440', 'link-car_000000001808', 'link-car_000000001806', 'link-car_000000001809', 'link-car_000000001252', 'link-car_000000001249', 'link-car_000000001257', 'link-car_000000001948', 'link-car_000000011401', 'link-car_000000011404', 'link-car_000000004360', 'link-car_000000001961', 'link-car_000000001835', 'link-car_000000001837', 'link-car_000000011446', 'link-car_000000001993', 'link-car_000000001997', 'link-car_000000001834', 'link-car_000000002073', 'link-car_000000001970', 'link-car_000000001986', 'link-car_000000002076', 'link-car_000000008882', 'link-car_000000008886', 'link-car_000000008889', 'link-car_000000011409', 'link-car_000000011407', 'link-car_000000011412', 'link-car_000000011095', 'link-car_000000005511', 'link-car_000000005505', 'link-car_000000005512', 'link-car_000000008582']",9.388959334294,car,"('car',)",2123.3120000000004,737777231,342471623,7,0.14285714285714285,336,MIT
