,index,link_path,time,route_type,route_types,length,origin,destination,activity,frequency,home,mode
0,177776,"['link-walk_000000004228', 'link-walk_000000004234', 'link-walk_000000004240', 'link-walk_000000004242', 'link-walk_000000004245', 'link-walk_000000009405', 'link-walk_000000001529', 'link-walk_000000001536', 'link-walk_000000001400', 'link-walk_000000001396', 'link-walk_000000001404', 'link-walk_000000001390', 'link-walk_000000001384', 'link-walk_000000001461', 'link-walk_000000001465', 'link-walk_000000000712', 'link-walk_000000000713', 'link-walk_000000000725', 'link-walk_000000000728', 'link-walk_000000008964', 'link-walk_000000008966', 'link-walk_000000001200', 'link-walk_000000001205', 'link-walk_000000000612', 'link-walk_000000000611']",23.617108140389124,walk,"('walk',)",2202.7180000000003,336,4875657927,6,0.07142857142857142,336,active
1,184940,"['link-walk_000000000615', 'link-walk_000000000617', 'link-walk_000000001022', 'link-walk_000000002623']",2.9364991168181103,walk,"('walk',)",225.432,4875657927,14750287,42,0.07142857142857142,336,active
2,265547,"['link-walk_000000000646', 'link-walk_000000000618', 'link-walk_000000000678', 'link-walk_000000000680', 'link-walk_000000001616', 'link-walk_000000001203', 'link-walk_000000000693', 'link-walk_000000000687', 'link-walk_000000000690', 'link-walk_000000000714', 'link-walk_000000000708', 'link-walk_000000000711', 'link-walk_000000001464', 'link-walk_000000001462', 'link-walk_000000001382', 'link-walk_000000001389', 'link-walk_000000001403', 'link-walk_000000001395', 'link-walk_000000001402']",13.498134477933247,walk,"('walk',)",1298.638,14750287,744280580,41,0.07142857142857142,336,active
3,20974,"['link-walk_000000001536', 'link-walk_000000001401', 'link-walk_000000001849', 'link-walk_000000001416', 'link-walk_000000002659', 'link-walk_000000009455', 'link-walk_000000002744', 'link-walk_000000001414', 'link-walk_000000007419', 'link-walk_000000000838', 'link-walk_000000000835', 'link-walk_000000000843', 'link-walk_000000001543', 'link-walk_000000009409', 'link-walk_000000009413', 'link-walk_000000003623', 'link-walk_000000001582', 'link-walk_000000001430', 'link-walk_000000001432', 'link-walk_000000009462', 'link-walk_000000001589', 'link-walk_000000011219', 'link-walk_000000011228', 'link-walk_000000001694', 'link-walk_000000001564', 'link-walk_000000001580', 'link-walk_000000007422', 'link-walk_000000007426', 'link-walk_000000004552', 'link-walk_000000007431', 'link-walk_000000009418', 'link-walk_000000009416', 'link-walk_000000009422', 'link-walk_000000009077', 'link-walk_000000004539', 'link-walk_000000004533', 'link-walk_000000004540', 'link-walk_000000007186']",25.071915821234384,walk,"('walk',)",2451.123,744280580,342471623,7,0.07142857142857142,336,active
4,179454,"['link-walk_000000005841', 'link-walk_000000007184', 'link-walk_000000004541', 'link-walk_000000004532', 'link-walk_000000004538', 'link-walk_000000009076', 'link-walk_000000009421', 'link-walk_000000009415', 'link-walk_000000009417', 'link-walk_000000007430', 'link-walk_000000004554', 'link-walk_000000007425', 'link-walk_000000007421', 'link-walk_000000001578', 'link-walk_000000001563', 'link-walk_000000001695', 'link-walk_000000003564', 'link-walk_000000003616', 'link-walk_000000001595', 'link-walk_000000011218', 'link-walk_000000011217', 'link-walk_000000001435', 'link-walk_000000001586', 'link-walk_000000003624', 'link-walk_000000009411', 'link-walk_000000009408', 'link-walk_000000001542', 'link-walk_000000000842', 'link-walk_000000000834', 'link-walk_000000000840', 'link-walk_000000007420', 'link-walk_000000001413', 'link-walk_000000002743', 'link-walk_000000011651', 'link-walk_000000002657', 'link-walk_000000001538', 'link-walk_000000001532', 'link-walk_000000001530', 'link-walk_000000001523', 'link-walk_000000001837', 'link-walk_000000004247', 'link-walk_000000004241', 'link-walk_000000004238', 'link-walk_000000004235']",32.01853888630867,walk,"('walk',)",3042.3010000000004,342471623,336,0,0.07142857142857142,336,active
5,73016,"['pt-links_973', 'pt-links_974', 'pt-links_975', 'pt-links_982']",30.219246103366217,pt,['bus'],9391.0,336,342471623,7,0.14285714285714285,336,PT
6,74581,"['pt-links_983', 'pt-links_984', 'pt-links_972']",28.860689040025076,pt,['bus'],5099.0,342471623,336,0,0.14285714285714285,336,PT
7,60644,"['pt-links_849', 'pt-links_858']",29.335621029138565,pt,['bus'],5769.0,28,495657120,6,0.07142857142857142,28,PT
8,128000,"['pt-links_918', 'pt-links_864']",34.861617130041125,pt,['bus'],2408.0,495657120,741886865,42,0.07142857142857142,28,PT
9,222009,"['pt-links_997', 'pt-links_978']",33.51781866550446,pt,['bus'],5043.0,741886865,1169806037,41,0.07142857142857142,28,PT
