,index,link_path,time,route_type,route_types,length,origin,destination,activity,frequency,home,mode
0,311866,"['pt-links_891', 'pt-links_893', 'pt-links_934', 'pt-links_935']",41.25986569325129,pt,['bus'],5623.0,702,1215309437,2,0.07142857142857142,702,PT
1,110445,['pt-links_938'],31.11723986466726,pt,['bus'],2316.0,1215308733,1222970437,41,0.07142857142857142,702,PT
2,158448,"['pt-links_873', 'pt-links_874', 'pt-links_875', 'pt-links_55', 'pt-links_56']",44.288598189751305,pt,['bus'],7556.0,1222970437,1161446118,7,0.07142857142857142,702,PT
3,44171,['pt-links_1187'],26.515425781408947,pt,['bus'],1021.0,1161446118,702,0,0.07142857142857142,702,PT
4,153433,"['link-car_000000018944', 'link-car_000000018947', 'link-car_000000018217', 'link-car_000000018215', 'link-car_000000018221', 'link-car_000000018229', 'link-car_000000010414', 'link-car_000000010416', 'link-car_000000010418', 'link-car_000000018209', 'link-car_000000009264', 'link-car_000000009271', 'link-car_000000019317', 'link-car_000000000125', 'link-car_000000000131', 'link-car_000000000112', 'link-car_000000000116', 'link-car_000000002213', 'link-car_000000002211', 'link-car_000000002217', 'link-car_000000018030', 'link-car_000000000937', 'link-car_000000018113', 'link-car_000000021894', 'link-car_000000020878', 'link-car_000000020874', 'link-car_000000017033', 'link-car_000000000955', 'link-car_000000000951', 'link-car_000000000956', 'link-car_000000000962', 'link-car_000000018195', 'link-car_000000006289', 'link-car_000000006279', 'link-car_000000006285', 'link-car_000000010800', 'link-car_000000010798', 'link-car_000000006917', 'link-car_000000006914', 'link-car_000000006863', 'link-car_000000006857', 'link-car_000000006827', 'link-car_000000006865', 'link-car_000000006806', 'link-car_000000000847', 'link-car_000000000845', 'link-car_000000000851', 'link-car_000000018895', 'link-car_000000018187', 'link-car_000000017975', 'link-car_000000017971', 'link-car_000000017980', 'link-car_000000017981', 'link-car_000000017986', 'link-car_000000017997', 'link-car_000000017990']",13.864533311128616,car,"('car',)",5462.597000000002,702,1215309437,2,0.14285714285714285,702,MIT
5,102634,"['link-car_000000017994', 'link-car_000000017991', 'link-car_000000017995', 'link-car_000000017985', 'link-car_000000017984', 'link-car_000000017978', 'link-car_000000017970', 'link-car_000000017977', 'link-car_000000018185', 'link-car_000000018894', 'link-car_000000000850', 'link-car_000000000844', 'link-car_000000000848', 'link-car_000000013687', 'link-car_000000013684', 'link-car_000000000842', 'link-car_000000000835', 'link-car_000000000830', 'link-car_000000000827', 'link-car_000000000832', 'link-car_000000013659', 'link-car_000000000824', 'link-car_000000000815', 'link-car_000000000819', 'link-car_000000011799', 'link-car_000000011798', 'link-car_000000011806', 'link-car_000000000812', 'link-car_000000000810', 'link-car_000000000807', 'link-car_000000000799', 'link-car_000000000793', 'link-car_000000000800', 'link-car_000000000856', 'link-car_000000019376', 'link-car_000000017139', 'link-car_000000000870', 'link-car_000000000861', 'link-car_000000000871', 'link-car_000000000096', 'link-car_000000000093', 'link-car_000000000100', 'link-car_000000016365', 'link-car_000000016369', 'link-car_000000019379', 'link-car_000000019383', 'link-car_000000019381', 'link-car_000000019387', 'link-car_000000019788', 'link-car_000000016328', 'link-car_000000016319', 'link-car_000000000090', 'link-car_000000000080', 'link-car_000000000084', 'link-car_000000019337', 'link-car_000000019335', 'link-car_000000019333', 'link-car_000000019331', 'link-car_000000000107', 'link-car_000000000104', 'link-car_000000000111', 'link-car_000000001668', 'link-car_000000021560', 'link-car_000000016244', 'link-car_000000001656', 'link-car_000000016242', 'link-car_000000001634', 'link-car_000000001630', 'link-car_000000001636', 'link-car_000000020890', 'link-car_000000000060', 'link-car_000000000052', 'link-car_000000000056', 'link-car_000000017110', 'link-car_000000000076', 'link-car_000000000073', 'link-car_000000000077', 'link-car_000000012792', 'link-car_000000008814', 'link-car_000000008732', 'link-car_000000008811', 'link-car_000000019726', 'link-car_000000017059', 'link-car_000000017057', 'link-car_000000000064', 'link-car_000000000066', 'link-car_000000000063', 'link-car_000000000068', 'link-car_000000009380', 'link-car_000000009375', 'link-car_000000009383', 'link-car_000000016219', 'link-car_000000016222', 'link-car_000000017418', 'link-car_000000017421', 'link-car_000000020319', 'link-car_000000011250', 'link-car_000000019291', 'link-car_000000019294', 'link-car_000000016458']",15.263523143529891,car,"('car',)",5680.282999999999,1215309437,1161446118,7,0.14285714285714285,702,MIT
6,68792,"['link-car_000000004138', 'link-car_000000016457', 'link-car_000000019296', 'link-car_000000019292', 'link-car_000000011249', 'link-car_000000020321', 'link-car_000000011252', 'link-car_000000011288', 'link-car_000000011261', 'link-car_000000002255', 'link-car_000000011264', 'link-car_000000016153', 'link-car_000000016150', 'link-car_000000009187', 'link-car_000000009179', 'link-car_000000009183', 'link-car_000000009198', 'link-car_000000009205', 'link-car_000000009211', 'link-car_000000019306', 'link-car_000000018949', 'link-car_000000018948']",11.254420284430186,car,"('car',)",2338.3010000000004,1161446118,702,0,0.14285714285714285,702,MIT
7,311866,"['pt-links_891', 'pt-links_893', 'pt-links_934', 'pt-links_935']",41.25986569325129,pt,['bus'],5623.0,702,1215309437,2,0.28571428571428575,702,PT
8,111902,"['pt-links_938', 'pt-links_939', 'pt-links_872', 'pt-links_873']",41.13486569325129,pt,['bus'],5623.0,1215309437,702,0,0.28571428571428575,702,PT
9,245809,"['link-car_000000011424', 'link-car_000000011386', 'link-car_000000011428', 'link-car_000000011443', 'link-car_000000017097']",8.871620339155196,car,"('car',)",858.137,213,1215341029,2,0.07142857142857142,213,MIT
